"BID" "SSID"
"3998346011_R01C02" "CA0000001856"
"3998352162_R10C01" "CA0000000186"
"3998352121_R01C01" "CA0000018672"
"3998370043_R09C01" "CA0000000187"
"3998352156_R04C01" "CA0000018758"
"3998352121_R08C02" "CA0000018781"
"3998370054_R08C02" "CA0000018785"
"3998359019_R10C02" "CA0000018795"
"3998352156_R12C02" "CA0000018810"
"3998370162_R07C01" "CA0000018824"
"3998346071_R05C01" "CA0000001889"
"3998370162_R05C02" "CA0000001890"
"3998352162_R02C01" "CA0000001895"
"3998359019_R06C02" "CA0000018971"
"3998352111_R06C01" "CA0000018992"
"3998352156_R05C01" "CA0000019011"
"3998370162_R09C01" "CA0000019070"
"3998370052_R02C02" "CA0000019089"
"3998352156_R10C01" "CA0000019090"
"3998370054_R11C02" "CA0000019093"
"3998352088_R05C01" "CA0000001914"
"3998346072_R09C02" "CA0000001915"
"3998352164_R08C02" "CA0000019178"
"3998352164_R06C02" "CA0000019259"
"3998359019_R05C01" "CA0000019328"
"3998370061_R07C01" "CA0000019343"
"3998370061_R01C02" "CA0000019384"
"3998370061_R12C02" "CA0000019403"
"3998346011_R05C01" "CA0000019572"
"3998352147_R08C01" "CA0000001959"
"3998359017_R08C02" "CA0000001960"
"3998352088_R05C02" "CA0000001980"
"3998346047_R07C02" "CA0000001981"
"3998352071_R03C01" "CA0000001988"
"3998370069_R09C01" "CA0000019885"
"3998346072_R04C02" "CA0000001989"
"3998346071_R04C02" "CA0000001990"
"3998370061_R03C01" "CA0000020050"
"3998370069_R12C02" "CA0000020068"
"3998370162_R11C01" "CA0000020113"
"3998359019_R07C02" "CA0000020123"
"3998370062_R01C01" "CA0000020148"
"3998370054_R02C02" "CA0000020210"
"3998370069_R08C02" "CA0000020238"
"3998352084_R10C01" "CA0000002024"
"3998352084_R09C02" "CA0000002025"
"3998370069_R06C02" "CA0000020256"
"3998370054_R07C02" "CA0000020258"
"3998352084_R06C02" "CA0000002026"
"3998370061_R06C02" "CA0000020325"
"3998370062_R03C02" "CA0000020343"
"3998370054_R12C01" "CA0000020408"
"3998370054_R08C01" "CA0000020615"
"3998370061_R04C01" "CA0000020692"
"3998352062_R05C01" "CA0000002073"
"3998352147_R02C02" "CA0000002074"
"3998370061_R05C02" "CA0000020821"
